user_id,name,skills
1,User_1,"Data Science, NLP"
2,User_2,"Python, Flask"
3,User_3,"MySQL, Python"
4,User_4,"Flask, React, MySQL"
5,User_5,"MySQL, Data Science, NLP, Machine Learning"
6,User_6,"Machine Learning, MySQL"
7,User_7,"React, JavaScript, Python"
8,User_8,"Django, Machine Learning"
9,User_9,"Python, Deep Learning, Django"
10,User_10,"JavaScript, Data Science"
11,User_11,"Django, Data Science"
12,User_12,"React, NLP, Flask, Deep Learning, Python"
13,User_13,"Machine Learning, Flask, MySQL, Data Science"
14,User_14,"Deep Learning, Flask, Django, MySQL"
15,User_15,"MySQL, Deep Learning, NLP, Flask, Django"
16,User_16,"MySQL, JavaScript, Python, NLP, Data Science"
17,User_17,"NLP, Django, Flask, Machine Learning, MySQL"
18,User_18,"Data Science, MySQL, NLP, React, Machine Learning"
19,User_19,"Python, NLP"
20,User_20,"Python, Machine Learning, Deep Learning, JavaScript, Data Science"
21,User_21,"Data Science, Flask"
22,User_22,"Django, Machine Learning"
23,User_23,"React, MySQL"
24,User_24,"Python, MySQL, Flask, Machine Learning"
25,User_25,"NLP, JavaScript"
26,User_26,"Deep Learning, Machine Learning, Data Science, React, Flask"
27,User_27,"NLP, MySQL, Flask, JavaScript, React"
28,User_28,"Data Science, Flask, React"
29,User_29,"React, Django, Deep Learning, Machine Learning"
30,User_30,"Python, Machine Learning, JavaScript, Django, Flask"
31,User_31,"Flask, MySQL, Django, Machine Learning, JavaScript"
32,User_32,"Machine Learning, Flask, MySQL, Django, Data Science"
33,User_33,"Python, Flask"
34,User_34,"Flask, MySQL, React, Django, NLP"
35,User_35,"Machine Learning, Deep Learning, React, Flask"
36,User_36,"Python, Data Science"
37,User_37,"Flask, Deep Learning, Django, Data Science"
38,User_38,"Flask, Deep Learning, Data Science"
39,User_39,"Python, JavaScript, MySQL, React"
40,User_40,"Machine Learning, Data Science, Django"
41,User_41,"MySQL, Django, Deep Learning"
42,User_42,"Data Science, MySQL, JavaScript, Deep Learning"
43,User_43,"Python, Machine Learning, NLP, Deep Learning, React"
44,User_44,"Deep Learning, Python, Flask"
45,User_45,"React, NLP, Data Science, MySQL, Machine Learning"
46,User_46,"React, Deep Learning, Flask"
47,User_47,"Django, NLP, JavaScript, React"
48,User_48,"JavaScript, Python"
49,User_49,"Deep Learning, Machine Learning, JavaScript, React"
50,User_50,"Python, React, JavaScript, Data Science"
51,User_51,"MySQL, JavaScript, Django, Python"
52,User_52,"React, MySQL"
53,User_53,"JavaScript, React, MySQL, Machine Learning, Data Science"
54,User_54,"Deep Learning, Machine Learning, Data Science, MySQL, Flask"
55,User_55,"Flask, Deep Learning, MySQL, Django, React"
56,User_56,"NLP, Django"
57,User_57,"Django, Python, React, JavaScript, NLP"
58,User_58,"MySQL, Data Science"
59,User_59,"JavaScript, MySQL"
60,User_60,"Python, MySQL, Data Science, JavaScript"
61,User_61,"Flask, React, JavaScript, Python, Machine Learning"
62,User_62,"JavaScript, React, Machine Learning, MySQL, Django"
63,User_63,"Deep Learning, React, Machine Learning, NLP"
64,User_64,"MySQL, React, NLP, Machine Learning, JavaScript"
65,User_65,"JavaScript, NLP, React, MySQL, Django"
66,User_66,"MySQL, JavaScript, Flask, Python"
67,User_67,"Flask, Machine Learning"
68,User_68,"NLP, React, Machine Learning, JavaScript, Deep Learning"
69,User_69,"NLP, Deep Learning, Machine Learning, MySQL"
70,User_70,"Flask, Machine Learning, JavaScript, Data Science"
71,User_71,"Python, Machine Learning, Django, MySQL, NLP"
72,User_72,"Flask, Deep Learning, Python, NLP"
73,User_73,"Django, Python, React, NLP, JavaScript"
74,User_74,"Deep Learning, React, Machine Learning, MySQL"
75,User_75,"Django, Flask"
76,User_76,"NLP, Machine Learning"
77,User_77,"React, Machine Learning, Data Science"
78,User_78,"Django, Python, Data Science, NLP, Deep Learning"
79,User_79,"React, NLP, Django"
80,User_80,"Data Science, JavaScript"
81,User_81,"Flask, Machine Learning, Django, MySQL"
82,User_82,"Machine Learning, Django"
83,User_83,"JavaScript, MySQL, Python, Flask, Deep Learning"
84,User_84,"React, Python, NLP, Data Science"
85,User_85,"Deep Learning, JavaScript"
86,User_86,"Deep Learning, Django, NLP, Machine Learning, Python"
87,User_87,"Flask, MySQL, React, Data Science"
88,User_88,"Data Science, MySQL"
89,User_89,"Django, Python"
90,User_90,"JavaScript, Deep Learning, Flask, NLP"
91,User_91,"MySQL, Machine Learning, Django"
92,User_92,"Python, Machine Learning, NLP, React, Data Science"
93,User_93,"Machine Learning, JavaScript, Django, Python, MySQL"
